Table 1
"LAGOS STATE UNIVERSITY TEACHING HOSPITAL PRICE LIST 
67,,2 X 4 UPPER AND LOWER ARCHES,"450,000",,,,,
68,,2 X 4 ONE ARC,"300,000",,,,,
69,,REMOVABLE APPLIANCES,"300,000",,,,,
70,,HABIT BREAKERS,"225,000",,,,,
71,,REINFORCED ANCHORAGE,"100,000",,,,,
72,,REPAIR OF APPLIANCE,"70,000",,,,,
73,,MISSING APPLIANCE ,"90,000",,,,,
74,,BRACKET REPLACEMENT,"20,000",,,,,
75,,BONDING ALONE,"10,000",,,,,
76,,BAND REPLACEMENT,"20,000",,,,,
77,,RE-CEMENTATION,"10,000",,,,,
78,,FUNCTIONAL APPLIANCE,"375,000",,,,,
79,,TADs (TEMPORARY ANCHORAGE DEVICE),"70,000",,,,,
80,,FIXED TONGUE TAMMERS (PER ARCH),"80,000",,,,,
81,,OPG (ORTHOPANTHOMOGRAM),"20,000",,,,,
82,,CEPH (CEPHALOMETRIC X-RAY),"20,000",,,,,
83,,FIXED LINGUAL RETAINER (Per Arch),"30,000",,,,,
84,,THERMOPLASTIC RETAINER (per arch),"20,000",,,,,
,,,,,,,,
85,"DENTAL UNIT:
PAEDIATRICS DENTISTRY UNIT",EXTRACTION (deciduous),"10,000",,,,,
86,,EXTRACTION (Permanent),"20,000",,,,,
87,,COMPOSITE FILLING,"15,000",,,,,
88,,COMPOSITE BUILDUP,"20,000",,,,,
89,,GIC FILLING,"15,000",,,,,
90,,AMALGAM FILLING,"10,000",,,,,
91,,TEMPORARY DRESSING ,"10,000",,,,,
92,,PULP CAPPING,"10,000",,,,,
93,,FISSURE SEALANT (per tooth),"10,000",,,,,
94,,PULPOTOMY,"15,000",,,,,
95,,PULPECTOMY,"20,000",,,,,
96,,RCT (ANTERIOR TEETH),"20,000",,,,,
97,,RCT (ANTERIOR TEETH WITH COMPOSITE BUILDUP),"30,000",,,,,
98,,RCT (POSTERIOR TEETH),"30,000",,,,,
99,,APEXIFICATION (calcium hydroxide),"30,000",,,,,
100,,APEXIFICATION (MTA),"50,000",,,,,
101,,APEXOGENESIS,"30,000",,,,,
102,,POST AND CORE BUILD-UP,"20,000",,,,,
103,,PARTIAL DENTURE,"15,000",,,,,
104,,FLUORIDE THERAPY (GEL/ VARNISH),"15,000",,,,,
105,,STAINLESS STEEL CROWN,"20,000",,,,,
106,,RECEMENTATION (AFTER 3 MONTHS),"10,000",,,,,
107,,ACRYLIC CROWN,"30,000",,,,,
108,,COMPOSITE CROWN,"20,000",,,,,
109,,STUDY MODEL,"10,000",,,,,
110,,"UNILATERAL SPACE MAINTAINER-CROWN & LOOP, BAND & LOOP","30,000",,,,,
111,,UNILATERAL SPACE MAINTAINER – DISTAL SHOE,"40,000",,,,,
112,,SPACE MAINTAINER (BILATERAL),"50,000",,,,,
113,,FRENECTOMY,"30,000",,,,,
114,,INCISIONAL BIOPSY,"30,000",,,,,
115,,EXCISIONAL BIOPSY,"35,000",,,,,
116,,SURGICAL EXPOSURE,"30,000",,,,,
117,,SPLINTING,"30,000",,,,,
118,,REIMPLANTATION & SPLINTING,"40,000",,,,,
119,,SPLINTING WITH SUTURING,"40,000",,,,,
120,,SUTURING,"15,000",,,,,
121,,APICECTOMY (Retrograde filling),"40,000",,,,,
122,,PORCELAIN FUSED TO METAL CROWN (PFM),,,,,,
,,,,,,,,
123,"DENTAL UNIT:
PREVENTIVE DENTISTRY",SCALING &; POLISHING- FIRST VISIT (adult 19 & above),"20,000",,,,,
124,,SCALING &; POLISHING- FIRST VISIT (13-18 years),"15,000",,,,,
125,,SCALING &; POLISHING- FIRST VISIT (2-12 years),"10,000",,,,,
126,,SCALING &; POLISHING- SUBSEQUENT (adult 19 & above),"15,000",,,,,
127,,SCALING &; POLISHING- SUBSEQUENT (13-18 years),"10,000",,,,,
128,,SCALING &; POLISHING- SUBSEQUENT (2-12 years),"7,500",,,,,
129,,TOPICAL FLUORIDE THERAPY PER VISIT,"10,000",,,,,
130,,FISSURE SEALANT PER TOOTH,"10,000",,,,,
131,,PLAQUE CONTROL PER VISIT,"5,000",,,,,
132,,DIETARY ANALYSIS,"5,000",,,,,
133,,CARIES RISK ASSESSMENT,"5,000",,,,,
134,,SMOKING CESSATION SERVICE,"5,000",,,,,
135,,ATRAUMATIC RESTORATIVE TREATMENT (ART),"5,000",,,,,
136,,DEEP SCALING AND ROOT PLANNING,"15,000",,,,,
137,,EXCISIONAL BIOPSY (Preventive Dentistry & Periodontology),"35,000",,,,,
138,,FRENECTOMY,"30,000",,,,,
139,,GINGIVECTOMY (1 - 3 teeth),"20,000",,,,,
140,,GINGIVECTOMY (4 teeth & above),"30,000",,,,,
141,,"OPEN FLAP SURGERY WITH OR WITHOUT BONE GRAFT 
First tooth =#30,000
Additional tooth = #30,000","30,000",,,,,
142,,GUIDED TISSUE REGENERATION (GTR) FIRST TOOTH,"35,000",,,,,
143,,GUIDED TISSUE REGENERATION (GTR) ADDITIONAL TOOTH,"30,000",,,,,
144,,SPLINTING WITH COMPOSITE (1 - 3 teeth),"15,000",,,,,
145,,SPLINTING WITH COMPOSITE (4 teeth & above),"20,000",,,,,
146,,OTHER PERIODONTAL SURGERY ,"30,000",,,,,
,,,,,,,,
147,"DENTAL UNIT:
RESTORATIVE DENTISTRY",TEMP. FILLING (Zn Oxide Eugenol),"10,000",,,,,
148,,AMALGAM FILLING (CLASS I),"10,000",,,,,
149,,AMALGAM FILLING (CLASS II),"15,000",,,,,
150,,AMALGAM FILLING (CLASS III),"20,000",,,,,
151,,GLASS IONOMER FILLING,"20,000",,,,,
152,,COMPOSITE RESTORATION,"30,000",,,,,
153,,CORE BUILD-UP,"30,000",,,,,
154,,PINS FOR COMPLEX RESTORATIONS,"15,000",,,,,
155,,ROOT  CANAL TREATMENT WITH/ WITHOUT CROWN (anterior tooth),"30,000",,,,,
156,,ROOT CANAL TREATMENT WITH/ WITHOUT CROWN (posterior tooth -premolar),"35,000",,,,,
157,,ROOT CANAL TREATMENT WITH/ WITHOUT CROWN (posterior tooth molars),"40,000",,,,,
158,,RE-ROOT CANAL TREATMENT (anterior teeth),"30,000",,,,,
159,,RE-ROOT CANAL TREATMENT (premolars),"35,000",,,,,
160,,RE-ROOT CANAL TREATMENT (molars),"40,000",,,,,
161,,RE-ROOT CANAL TREATMENT (Apicectomy),"50,000",,,,,
162,,ACRYLIC JACKET CROWN/ POLYCARBONATE/ ALUMINIUM,"45,000",,,,,
163,,ANTERIOR PORCELAIN JACKET CROWN,"120,000",,,,,
164,,POSTERIOR PORCELAIN FUSED METAL CROWN (PFM),"120,000",,,,,
165,,POST AND CORE (non-precious metals),"120,000",,,,,
166,,POSTERIOR FUSED TO YELLOW GOLD (high noble pontic),"130,000 (depending on market value)",,,,,
167,,YELLOW GOLD CROWN/ INLAY/ ONLAY,"91,000 (depending on market value)",,,,,
168,,NON-PRECIOUS METAL CROWN/ INLAY/ ONLAY,"52,000 (depending on market value)",,,,,
169,,CROWN RECEMENTATION,"20,000",,,,,
170,,POST AND CORE (fibre post + resin bonding/ flowable composite),"40,000",,,,,
171,,POST AND CORE (yellow gold),"78,000 (depending on market value)",,,,,
172,,DENTATUS SCREW POST,"30,000",,,,,
173,,ZIRCONIA/ EMAX CROWN ,"150,000",,,,,
174,,BRIDGES,,,,,,
175,,STUDY CAST,"10,000",,,,,
176,,BLEECHING TEETH (single tooth),"45,000",,,,,
177,,BLEECHING TEETH (multiple tooth),"120,000",,,,,
178,,PROSTHESIS PARTIAL DENTURE (single tooth),"15,000",,,,,
179,,PROSTHESIS (additional tooth),"15,000",,,,,
180,,PROSTHESIS (express denture tooth),"30,000",,,,,
181,,PROSTHESIS (immediate denture),"20,000",,,,,
182,,PROSTHESIS (full-full denture),"120,000",,,,,
183,,PROSTHESIS (full-upper denture),"70,000",,,,,
184,,PROSTHESIS (full-lower denture),"70,000",,,,,
185,,OBTURATOR FEEDING PLATE,"120,000 Adult

50,000 Paed.",,,,,
186,,OBTURATOR (main),"150,000",,,,,
187,,OBTURATOR INDIVIDUAL TOOTH/ MULTIPLE TEETH,"15,000",,,,,
188,,ACRYLIC DENTURE RECLINING,"15,000",,,,,
189,,DENTURE RECLINING SOFT LINING,"30,000",,,,,
190,,DENTURE RECLINING REBASING,"20,000",,,,,
191,,DENTURE RECLINING REPAIR,"15,000",,,,,
192,,DENTURE RECLINING EMERGENCY PARTIAL DENTURE/ TOOTH,"30,000",,,,,
193,,DENTURE RECLINING FACIAL PROSTHESIS,"130,000 (depending on market value)",,,,,
194,,UPPER CHROME COLBALT DENTURE SKELETAL PLATE ,"150,000",,,,,
195,,LOWER CHROME COLBALT DENTURE SKELETAL PLATE ,"150,000",,,,,
196,,LINGUAL BAR,"30,000",,,,,
197,,"FLEXIBLE DENTURE (1 -3 teeth):
First tooth
Clinic
Lab","FLEXIBLE DENTURE (1 -3 teeth):
First tooth =N75,000
Clinic =N50,000
Lab =N45,000
TOTAL =#170,000",,,,,
198,,FLEXIBLE DENTURE (4 -6 teeth),"30,000 for additional teeth",,,,,
,,,,,,,,
199,DERMATOLOGY,SKIN BIOPSY,"5,000",,,,,
200,,INCISIONAL BIOPSY,"15,000",,,,,
201,,PUNCH BIOPSY,"20,000",,,,,
202,,EXCISIONAL BIOPSY,"35,000",,,,,
203,,WOUND BIOPSY,"10,000",,,,,
204,,WOUND SWAB M/C/S,"15,000",,,,,
205,,BIOPSY PACK,"5,000",,,,,
206,,BIOPSY NEEDLE,"20,000",,,,,
207,,HISTOLOGY/ FREIGHT,"35,000",,,,,
208,,SUTURING,"10,000",,,,,
209,,CATHARONE APPLICATION,"15,000",,,,,
210,,PODOPHYLL IN APPLICATION ,"5,000",,,,,
211,,KMNO4 TAB,"5,000",,,,,
212,,CHEMICAL PEEL SESSION,"20,000",,,,,
213,,CRYOTHERAPY SESSION,"20,000",,,,,
214,,INTRALESIONAL KENALOG/ VIAL,"10,000",,,,,
215,,HYFRECATION OF WARTS,"30,000",,,,,
216,,HYFRECATION OF DPN,"30,000",,,,,
217,,CONSULTATION FEE,"5,000",,,,,
,,,,,,,,
218,DIETARY CLINIC,DIETARY ANALYSIS,"5,000",,,,,
219,,"GEN, WARDS (INCLUDING DIETARY PLAN AFTER DISCHARGE","10,000",,,,,
220,,IFM,"10,000",,,,,
221,,ICU/ CCU PATIENT (after discharge),"20,000",,,,,
222,,THYROIDISM,"5,000",,,,,
223,,HIGH PROTEIN/ HIGH CALORIE,"5,000",,,,,
224,,DM + HNT (IDEAL BMI),"5,000",,,,,
225,,HTN WITH IDEAL BMI OR OVERWEIGHT,"5,000",,,,,
226,,OBESITY& OTHER COMPLICATIONS,"5,000",,,,,
227,,HYPERLIPIDEAMIA (IDEAL BMI),"5,000",,,,,
228,,LOW SALT/ LOW PROTEIN,"5,000",,,,,
229,,"DM,OBESITY, HTN OTHER COMPLICATIONS","10,000",,,,,
230,,CA DIET PLAN ,"5,000",,,,,
231,,RENAL DIET PLAN ,"5,000",,,,,
232,,HTN OTHER COMPLICATIONS,"5,000",,,,,
233,,PUD/ GERD,"5,000",,,,,
234,,NHIS PATIENTS ,N/A,,,,,
235,,MEASURING BOWL (REPLACEMENT),"5,000",,,,,
,,,,,,,,
236,EEG SERVICES,ELECTROENCEPHALOGRAM (EEG) -charge per session,"30,000",,,,,
,,,,,,,,
237,ENDOSCOPY,DIAGNOSTIC UPPER G.I ENDOSCOPY,"100,000",,,,,
238,,VARICEAL BANDING,"150,000",,,,,
239,,FOREIGN BODY REMOVAL,"150,000",,,,,
240,,POLYPECTOMY FROM UPPER G.I TRACT,"150,000",,,,,
241,,DIAGNOSTIC LOWER G.I ENDOSCOPY,"200,000",,,,,
242,,LOWER G.I TRACT POLYPECTOMY,"250,000",,,,,
243,,P.E.G TUBE INSERTION,"250,000",,,,,
244,,DIRECT ENDOSCOPY,"50,000",,,,,
245,,PANENDOSCOPY,"200,000",,,,,
246,,ENDOSCOPY WIRELESS CAPSULE,"120,000",,,,,
247,,COLONOSCOPY,"150,000",,,,,
,,,,,,,,
248,"ENDOSCOPY
(NEONATAL PHOTOTHERAPY SERVICES)",THERAPEUTIC PHOTOTHERAPY (charge per day),"1,000",,,,,
249,,PROPHYLACTIC PHOTOTHERAPY (charge per day),500,,,,,
,,,,,,,,
250,ENDOUROLOGY/ LASER LITHOTRIPSY PROCEDURE,ENDOUROLOGY ADMISSION DEPOSIT (for 5 days),"123,000",,,,,
251,,THEATRE FEE (Intermediate surgery),"460,000",,,,,
252,,CONSUMABLES,"496,600",,,,,
253,,ACCESSORIES,"305,500",,,,,
254,,LASUTH FEE FOR MACHINE COST AND MAINTENANCE FEE,"1,137,450",,,,,
255,,ENDOUROLOGY TOTAL,"2,522,550 (#4M outside)",,,,,
,,,,,,,,
256,ENT,NEW PATIENT VISIT,"1,000",,,,,
257,,FOLLOW-UP VISIT,"1,000",,,,,
258,,SUCTION CLEARANCE OF THE NOSE OR EAR,"5,000",,,,,
259,,SYRINGING PER EAR,"5,000",,,,,
260,,LAWO,"30,000",,,,,
261,,BAWO,"50,000",,,,,
262,,UVULECTOMNY,"20,000",,,,,
263,,NASAL SPRAY,"5,000",,,,,
264,,NASAL PACKING ,"20,000",,,,,
265,,INTRANASAL ANTROSTOMY,"20,000",,,,,
266,,BIL INTRANASAL ANTROSTOMY,"30,000",,,,,
267,,ANTROSTOMY,"50,000",,,,,
268,,POLYPECTOMY WITH ANTROSTOMY,"200,000",,,,,
269,,BIL-POLYPECTOMY WITH ANTROSTOMY ,"250,000",,,,,
270,,POST NASAL SPACE ,"10,000 Adult
5,000 Paed.",,,,,
271,,NASAL PRONGS (nasal catheter),"1,000",,,,,
272,,CAUTERIZATION (ear or nose),"20,000",,,,,
273,,XYLOMEPHE INJECTION,"5,000",,,,,
274,,MEATOPLASTY,"50,000",,,,,
275,,MYRINGOTOMY + GROMMEL INSERTION,"50,000",,,,,
276,,I&D,"25,000",,,,,
277,,MASTOIDECTOMY,"100,000",,,,,
278,,ADENOTOSILLECTOMY,"75,000",,,,,
279,,TONSILLECTOMY,"75,000",,,,,
280,,ADENOIDECTOMY,"50,000",,,,,
281,,E.U.A,"30,000",,,,,
282,,E.U.A. AND BIOPSY,"35,000",,,,,
283,,BIL-TURBINECTOMY,"50,000",,,,,
284,,TURBINECTOMY,"50,000",,,,,
285,,POLYPECTOMY,"100,000",,,,,
286,,BIL-POLYPECTOMY,"150,000",,,,,
287,,AURAL POLYPECTOMY IN CLINIC,"40,000",,,,,
288,,AURAL POLYPECTOMY IN THEATRE ,"45,000",,,,,
289,,BIL-AURAL POLYPECTOMY…G.A,"45,000",,,,,
290,,ETHMOIDECTOMY,"100,000",,,,,
291,,FRONTOETHMOIDECTOMY,"30,000",,,,,
292,,OPENING OF PERITONSILLAR ABSCESS,"50,000",,,,,
293,,TONGUE TIE,"30,000",,,,,
294,,SPEECH THERAPY (per week),"20,000",,,,,
295,,EXCISSION ,"20,000",,,,,
296,,PAPILLOMA,"20,000",,,,,
297,,PREAURICULAR SINUS,"50,000",,,,,
298,,TREPHINATION OF FRONTAL SINUS,"30,000",,,,,
299,,IDL WITHOUT ANAESTHESIA ,"15,000",,,,,
300,,IDL WITH ANAESTHESIA ,"20,000",,,,,
301,,CALD WEL LUC,"100,000",,,,,
302,,EXCISION OF SUBMANDIBULAR –LYMPHADENOPATHY (lateral),"30,000",,,,,
303,,EXCISION OF SUBMANDIBULAR-LYMPHADENOPATHY (bilateral),"35,000",,,,,
304,,SUB MANDIBULAR GLAND EXCISION ,"30,000",,,,,
305,,EXORTOSIS EXCISION ,"30,000",,,,,
306,,DIRECT LARYNGOSCOPY,"30,000",,,,,
307,,DIRECT ENDOSCOPY,"30,000",,,,,
308,,INSERTION OF VENTILATION ,"20,000",,,,,
309,,INSERTION OF TRACHEOSTOMY TUBE,"20,000",,,,,
310,,PAROTIDECTOMY,"30,000",,,,,
311,,SEPTAL (reconstruction) RHINOPLASTY,"30,000",,,,,
312,,RHINOTOMY,"30,000",,,,,
313,,BIL RHINOTOMY,"30,000",,,,,
314,,SUB MUCOUS RESECTION,"30,000",,,,,
315,,DECANULATION ,"20,000",,,,,
316,,FOREIGN BODY REMOVAL IN THE THROAT (under G.A),"35,000",,,,,
317,,FOREIGN BODY REMOVAL IN THE THROAT (under L.A),"15,000",,,,,
,,,,,,,,
318,FAMILY MEDICINE,INTRA ARTICULAR INJECTION,"5,000",,,,,
319,,IV ZOLENDRONIC ACID ADMINISTRATION,"5,000",,,,,
320,,EAR SYRINGING ,"5,000",,,,,
321,,INCISION AND DRAINAGE,"10,000",,,,,
322,,FLUID RESUSCICATION,"5,000",,,,,
323,,PAP SMEAR SAMPLE COLLECTION,"5,000",,,,,
324,,WOUND DRESSING,"5,000",,,,,
325,,INTRA LESIONAL KENALOG INJECTION,"5,000",,,,,
326,,PODOPHYLLIN PAINTING FOR WARTS,"5,000",,,,,
327,,OBSERVATION FOR HYPERGLYCEMIC/ HYPERTENSIVE CRISIS,"5,000",,,,,
,,,,,,,,
328,ICU,"ADMISSION DEPOSIT FOR PATIENT ON VENTILATOR (first 3 days on admission)
","ADMISSION DEPOSIT FOR PATIENT ON VENTILATOR (first 3 days on admission)
Admission fee for 3 days =N225,000 (N75,000/ day)
Ventilator for 3 days =N240,000 (N80,000/ day)
Ventilator Circuit Consumable (N60,000 one-time payment)
Oxygen for 3 days =N90,000 (N30,000/ day)
TOTAL =#615,000",,,,,
329,,4th and subsequent days on admission (each day after 3 days),"4th and subsequent days on admission (each day after 3 days)
Admission fee =N75,000
Ventilator fee =N80,000
Oxygen =N30,000
TOTAL =#185,000",,,,,
330,,ADMISSION DEPOSIT FOR PATIENT ON OXYGEN ONLY (first 3 days on admission),"ADMISSION DEPOSIT FOR PATIENT ON OXYGEN ONLY (first 3 days on admission)
Admission fee for 3 days =N225,000 (N75,000/ day)
Oxygen for 3 days =N90,000 (N30,000/ day)
TOTAL =#315,000",,,,,
331,,4th and subsequent days on admission (each day after 3 days),"4th and subsequent days on admission (each day after 3 days)
Admission fee =N75,000
Oxygen =N30,000
TOTAL =#105,000",,,,,
,,,,,,,,
332,ONCOLOGY,CHEMO. ADM. FEE,"10,000",,,,,
,,,,,,,,
333,OPHTHAMOLOGY,AUTOMATED IOP,"5,000 Adult 

3,000 Paed.",,,,,
334,,REFRACTION ,"5,000 Adult 

3,000 Paed.",,,,,
335,,CYCLOPLEGIE REFRACTION ,"5,000 Adult 

3,000 Paed.",,,,,
336,,IRRIGATION ,"5,000 Adult 

3,000 Paed.",,,,,
337,,OCULAR IRRIGATION (major),"10,000 Adult 

5,000 Paed.",,,,,
338,,OCULAR IRRIGATION (minor),"5,000 Adult 

3,000 Paed.",,,,,
339,,EPILIATION ,"5,000 Adult 

3,000 Paed.",,,,,
340,,C.V.F TEST ,"10,000 Adult 

5,000 Paed.",,,,,
341,,VISION TEST ,"5,000",,,,,
342,,FLUORESCEIN DYE/ STRIPS,"5,000",,,,,
343,,PACHYMETRY,"5,000 Adult 

3,000 Paed.",,,,,
344,,SCHIRMER'S STRIPS,"5,000",,,,,
345,,A SCAN,"10,000 Adult 

5,000 Paed.",,,,,
346,,B SCAN,"10,000 Adult 

5,000 Paed.",,,,,
347,,BIOMETRY,"10,000 Adult 

5,000 Paed.",,,,,
348,,INTRAOCULAR PRESSURE MEASUREMENT WITH APPLANATION TONOMETER/ GENERAL                   ,"5,000 Adult 

3,000 Paed.",,,,,
349,,EUA,"10,000 Adult 

5,000 Paed.",,,,,
350,,FOREIGN BODY REMOVAL                                                                                                                                   ,"10,000 Adult 

5,000 Paed.",,,,,
351,,IRRIGATION,"5,000 Adult 

3,000 Paed.",,,,,
352,,GONIOSCOPY,"5,000",,,,,
353,,AUTO REFRACTION,"5,000 Adult 

3,000 Paed.",,,,,
354,,LACRIMAL SYRINGING & ROBING,"5,000 Adult 

3,000 Paed.",,,,,
355,,FUNDUS PHOTOGRAPHY,"30,000 Adult 

20,000 Paed.",,,,,
356,,FLURESCIEN ANGIOGRAPHY ,"45,000 Adult 

35,000 Paed.",,,,,
357,,YAG LASER,"50,000 Adult 

30,000 Paed.",,,,,
358,,ARGON LASER/CYCLODIODE,"50,000 Adult 

30,000 Paed.",,,,,
359,,INCISION AND DRAINAGE,"10,000",,,,,
360,,OCT,"30,000",,,,,
361,,BIO,"5,000",,,,,
362,,INTRAVITREAL INJECTION,"20,000",,,,,
363,,78D/ 90D,"5,000",,,,,
364,,PHASING,"20,000 Adult 

10,000 Paed.",,,,,
365,,EXCISION BIOPSY,"60,000",,,,,
,,,,,,,,
366,OPHTHAMOLOGY SURGERY,"PAEDIATRIC MINOR PACK, CATARACT/ TRABECULECTOMY SURGERY","65,000",,,,,
367,,EYE CODE PACK FOR TRABECULECTOMY SURGERY,"140,000",,,,,
368,,EYE CODE PACK FOR CATARACT ,"95,000",,,,,
369,,EYE CLINIC OUTREACH,"10,000",,,,,
370,,EYELID SURGERY: CYST OF MOLL/ ZEIS/ ECRINE,"30,000",,,,,
371,,EYELID SURGERY: SHAVE EXCISION,"30,000",,,,,
372,,EYELID SURGERY: ELECTROLYSIS (unilateral),"30,000",,,,,
373,,EYELID SURGERY: TARSORAPHY ,"30,000",,,,,
374,,EYELID SURGERY: TARSOCUY FLAP ,"70,000",,,,,
375,,EYELID SURGERY: MEDIAL CANTHOPLASTY,"30,000",,,,,
376,,EYELID SURGERY: ANKYLOBLEPHAROLYSIS,"30,000",,,,,
377,,EYELID SURGERY: REPAIR/ BLEPHAROPLASTY/ FAT EXCISION ,"60,000",,,,,
378,,LACRIMAL SURGERY: LACRIMAL ABSCESS I&D ,"30,000",,,,,
